ID	dPPE38.1.halflife	dPPE38.2.halflife	Uninfected.1.halflife	Uninfected.2.halflife
sp|O43707|ACTN4_HUMANAlpha-actinin-4OS=HomosapiensGN=ACTN4PE=1SV=2;tr|F5GXS2|F5GXS2_HUMANAlpha-actinin-4OS=HomosapiensGN=ACTN4PE=1SV=2;tr|H7C144|H7C144_HUMANAlpha-actinin-4(Fragment)OS=HomosapiensGN=ACTN4PE=1SV=1;tr|K7EJH8|K7EJH8_HUMANAlpha-actinin-4(Fragment)OS=HomosapiensGN=ACTN4PE=1SV=1;tr|K7EP19|K7EP19_HUMANAlpha-actinin-4(Fragment)OS=HomosapiensGN=ACTN4PE=1SV=1	42.54075253	43.31820356	40.23700423	43.57459793
sp|O43747|AP1G1_HUMANAP-1complexsubunitgamma-1OS=HomosapiensGN=AP1G1PE=1SV=5;tr|H3BNR4|H3BNR4_HUMANAP-1complexsubunitgamma-1OS=HomosapiensGN=AP1G1PE=1SV=1;tr|H3BR36|H3BR36_HUMANAP-1complexsubunitgamma-1(Fragment)OS=HomosapiensGN=AP1G1PE=1SV=1;tr|H3BUN9|H3BUN9_HUMANAP-1complexsubunitgamma-1OS=HomosapiensGN=AP1G1PE=1SV=1;tr|B3KNW1|B3KNW1_HUMANAP-1complexsubunitgamma-1OS=HomosapiensGN=AP1G1PE=1SV=1	44.48267929	40.07731466	43.24630983	38.87750395
sp|O43776|SYNC_HUMANAsparagine--tRNAligase,cytoplasmicOS=HomosapiensGN=NARSPE=1SV=1;tr|K7EIU7|K7EIU7_HUMANAsparagine--tRNAligase,cytoplasmic(Fragment)OS=HomosapiensGN=NARSPE=1SV=1;tr|K7EPK2|K7EPK2_HUMANAsparagine--tRNAligase,cytoplasmic(Fragment)OS=HomosapiensGN=NARSPE=1SV=1;tr|K7EQ35|K7EQ35_HUMANAsparagine--tRNAligase,cytoplasmic(Fragment)OS=HomosapiensGN=NARSPE=1SV=1;tr|K7EMQ6|K7EMQ6_HUMANAsparagine--tRNAligase,cytoplasmic(Fragment)OS=HomosapiensGN=NARSPE=1SV=1;tr|K7EJ19|K7EJ19_HUMANAsparagine--tRNAligase,cytoplasmicOS=HomosapiensGN=NARSPE=1SV=1	41.15103734	43.22278992	40.76576936	40.56263604
sp|O60488|ACSL4_HUMANLong-chain-fatty-acid--CoAligase4OS=HomosapiensGN=ACSL4PE=1SV=2;tr|H0Y9A0|H0Y9A0_HUMANLong-chain-fatty-acid--CoAligase4(Fragment)OS=HomosapiensGN=ACSL4PE=1SV=1	19.24221778	19.9897741	18.62028514	21.15414262
sp|O60506|HNRPQ_HUMANHeterogeneousnuclearribonucleoproteinQOS=HomosapiensGN=SYNCRIPPE=1SV=2;tr|F6UXX1|F6UXX1_HUMANHeterogeneousnuclearribonucleoproteinQ(Fragment)OS=HomosapiensGN=SYNCRIPPE=1SV=1	48.20763579	53.99767394	50.21691022	53.55899651
sp|O75083|WDR1_HUMANWDrepeat-containingprotein1OS=HomosapiensGN=WDR1PE=1SV=4;tr|D6RD66|D6RD66_HUMANWDrepeat-containingprotein1(Fragment)OS=HomosapiensGN=WDR1PE=1SV=1	56.47422099	57.02785769	54.00828856	54.61535406
sp|O75396|SC22B_HUMANVesicle-traffickingproteinSEC22bOS=HomosapiensGN=SEC22BPE=1SV=4;tr|A0A087X1A9|A0A087X1A9_HUMANVesicle-traffickingproteinSEC22b(Fragment)OS=HomosapiensGN=SEC22BPE=1SV=1	46.77453747	49.79798262	50.93785406	51.09915471
sp|O75844|FACE1_HUMANCAAXprenylprotease1homologOS=HomosapiensGN=ZMPSTE24PE=1SV=2	44.13760033	44.89435303	44.29059371	45.15389339
sp|O75874|IDHC_HUMANIsocitratedehydrogenase[NADP]cytoplasmicOS=HomosapiensGN=IDH1PE=1SV=2;tr|C9J4N6|C9J4N6_HUMANIsocitratedehydrogenase[NADP]cytoplasmic(Fragment)OS=HomosapiensGN=IDH1PE=1SV=1;tr|C9JJE5|C9JJE5_HUMANIsocitratedehydrogenase[NADP]cytoplasmic(Fragment)OS=HomosapiensGN=IDH1PE=1SV=1;tr|C9JLU6|C9JLU6_HUMANIsocitratedehydrogenase[NADP]cytoplasmic(Fragment)OS=HomosapiensGN=IDH1PE=1SV=8	73.65778108	64.82025641	63.47135234	62.19904207
sp|O75915|PRAF3_HUMANPRA1familyprotein3OS=HomosapiensGN=ARL6IP5PE=1SV=1;tr|F8WF90|F8WF90_HUMANPRA1familyproteinOS=HomosapiensGN=ARL6IP5PE=1SV=1;tr|C9JQU6|C9JQU6_HUMANPRA1familyproteinOS=HomosapiensGN=ARL6IP5PE=1SV=1;tr|F8WF33|F8WF33_HUMANPRA1familyproteinOS=HomosapiensGN=ARL6IP5PE=1SV=1	29.0097763	27.98173416	29.45967907	31.90044963
sp|O94905|ERLN2_HUMANErlin-2OS=HomosapiensGN=ERLIN2PE=1SV=1;tr|E5RHW4|E5RHW4_HUMANErlin-2(Fragment)OS=HomosapiensGN=ERLIN2PE=1SV=1;tr|E5RJ09|E5RJ09_HUMANErlin-2(Fragment)OS=HomosapiensGN=ERLIN2PE=1SV=1;tr|B0QZ43|B0QZ43_HUMANErlin-1(Fragment)OS=HomosapiensGN=ERLIN1PE=1SV=1;sp|O75477|ERLN1_HUMANErlin-1OS=HomosapiensGN=ERLIN1PE=1SV=1	53.35504672	61.5786976	62.02783323	52.09014933
sp|O94973|AP2A2_HUMANAP-2complexsubunitalpha-2OS=HomosapiensGN=AP2A2PE=1SV=2;tr|A0A0G2JS82|A0A0G2JS82_HUMANAP-2complexsubunitalpha-2(Fragment)OS=HomosapiensGN=AP2A2PE=1SV=1;tr|A0A0G2JQM1|A0A0G2JQM1_HUMANAP-2complexsubunitalpha-2(Fragment)OS=HomosapiensGN=AP2A2PE=1SV=1;tr|E9PR62|E9PR62_HUMANAP-2complexsubunitalpha-2OS=HomosapiensGN=AP2A2PE=1SV=1;tr|A0A0G2JRF9|A0A0G2JRF9_HUMANAP-2complexsubunitalpha-2(Fragment)OS=HomosapiensGN=AP2A2PE=1SV=1;tr|A0A0G2JQA4|A0A0G2JQA4_HUMANAP-2complexsubunitalpha-2(Fragment)OS=HomosapiensGN=AP2A2PE=1SV=1;tr|E9PNC4|E9PNC4_HUMANAP-2complexsubunitalpha-2(Fragment)OS=HomosapiensGN=AP2A2PE=1SV=1;tr|A0A0G2JRS3|A0A0G2JRS3_HUMANAP-2complexsubunitalpha-2(Fragment)OS=HomosapiensGN=AP2A2PE=1SV=1;tr|A0A0G2JS17|A0A0G2JS17_HUMANAP-2complexsubunitalpha-2(Fragment)OS=HomosapiensGN=AP2A2PE=1SV=4;tr|A0A0G2JQT9|A0A0G2JQT9_HUMANAP-2complexsubunitalpha-2(Fragment)OS=HomosapiensGN=AP2A2PE=1SV=1;tr|H0YDE9|H0YDE9_HUMANAP-2complexsubunitalpha-2(Fragment)OS=HomosapiensGN=AP2A2PE=1SV=8;tr|H0YEG0|H0YEG0_HUMANAP-2complexsubunitalpha-2(Fragment)OS=HomosapiensGN=AP2A2PE=1SV=1;tr|E9PQP4|E9PQP4_HUMANAP-2complexsubunitalpha-2(Fragment)OS=HomosapiensGN=AP2A2PE=1SV=1	39.30461304	38.27621172	33.75965452	31.42402928
sp|O95373|IPO7_HUMANImportin-7OS=HomosapiensGN=IPO7PE=1SV=1;tr|E9PLB2|E9PLB2_HUMANImportin-7(Fragment)OS=HomosapiensGN=IPO7PE=1SV=8;tr|E9PLJ0|E9PLJ0_HUMANImportin-7OS=HomosapiensGN=IPO7PE=1SV=1	45.71570248	46.88774131	41.83027732	43.91555081
sp|O95782|AP2A1_HUMANAP-2complexsubunitalpha-1OS=HomosapiensGN=AP2A1PE=1SV=3;tr|M0R2D9|M0R2D9_HUMANAP-2complexsubunitalpha-1(Fragment)OS=HomosapiensGN=AP2A1PE=4SV=1	37.96913878	38.8334016	35.73530361	34.57591622
sp|O95861|BPNT1_HUMAN3'(2'),5'-bisphosphatenucleotidase1OS=HomosapiensGN=BPNT1PE=1SV=1;tr|A6NF51|A6NF51_HUMAN3'(2'),5'-bisphosphatenucleotidase1OS=HomosapiensGN=BPNT1PE=1SV=2;tr|F8VVW8|F8VVW8_HUMAN3'(2'),5'-bisphosphatenucleotidase1(Fragment)OS=HomosapiensGN=BPNT1PE=1SV=2;tr|F8VZG4|F8VZG4_HUMAN3'(2'),5'-bisphosphatenucleotidase1(Fragment)OS=HomosapiensGN=BPNT1PE=1SV=1;tr|F8W1J0|F8W1J0_HUMAN3'(2'),5'-bisphosphatenucleotidase1(Fragment)OS=HomosapiensGN=BPNT1PE=1SV=1	52.18799788	49.75348056	53.25220559	51.75906862
sp|P00367|DHE3_HUMANGlutamatedehydrogenase1,mitochondrialOS=HomosapiensGN=GLUD1PE=1SV=2	56.67110581	54.79353918	53.52079886	57.32399648
sp|P00390|GSHR_HUMANGlutathionereductase,mitochondrialOS=HomosapiensGN=GSRPE=1SV=2;tr|E5RI06|E5RI06_HUMANGlutathionereductase,mitochondrial(Fragment)OS=HomosapiensGN=GSRPE=1SV=8;tr|H0YC68|H0YC68_HUMANGlutathionereductase,mitochondrial(Fragment)OS=HomosapiensGN=GSRPE=1SV=1	55.79734941	53.58992305	52.47084051	50.71928073
sp|P00558|PGK1_HUMANPhosphoglyceratekinase1OS=HomosapiensGN=PGK1PE=1SV=3;sp|P07205|PGK2_HUMANPhosphoglyceratekinase2OS=HomosapiensGN=PGK2PE=1SV=3	54.59915475	55.39572978	55.52306617	58.76066132
sp|P02545|LMNA_HUMANPrelamin-A/COS=HomosapiensGN=LMNAPE=1SV=1;tr|H0YAB0|H0YAB0_HUMANPrelamin-A/C(Fragment)OS=HomosapiensGN=LMNAPE=1SV=1;tr|A0A0C4DGC5|A0A0C4DGC5_HUMANPrelamin-A/C(Fragment)OS=HomosapiensGN=LMNAPE=1SV=1;REV__sp|Q5VX52|SPAT1_HUMANSpermatogenesis-associatedprotein1OS=HomosapiensGN=SPATA1PE=2SV=3	67.96202348	70.6472725	71.0516661	73.64923964
sp|P02786|TFR1_HUMANTransferrinreceptorprotein1OS=HomosapiensGN=TFRCPE=1SV=2;tr|G3V0E5|G3V0E5_HUMANTransferrinreceptor(P90,CD71),isoformCRA_cOS=HomosapiensGN=TFRCPE=1SV=1;tr|H7C3V5|H7C3V5_HUMANTransferrinreceptorprotein1(Fragment)OS=HomosapiensGN=TFRCPE=1SV=1;tr|F8WBE5|F8WBE5_HUMANTransferrinreceptorprotein1OS=HomosapiensGN=TFRCPE=1SV=1	15.73280833	16.06095777	15.41731187	15.78737206
sp|P04040|CATA_HUMANCatalaseOS=HomosapiensGN=CATPE=1SV=3	103.660202	109.9107262	103.5271928	102.518741
sp|P04075|ALDOA_HUMANFructose-bisphosphatealdolaseAOS=HomosapiensGN=ALDOAPE=1SV=2;tr|J3KPS3|J3KPS3_HUMANFructose-bisphosphatealdolaseOS=HomosapiensGN=ALDOAPE=1SV=1;tr|H3BQN4|H3BQN4_HUMANFructose-bisphosphatealdolaseOS=HomosapiensGN=ALDOAPE=1SV=1;tr|H3BPS8|H3BPS8_HUMANFructose-bisphosphatealdolaseA(Fragment)OS=HomosapiensGN=ALDOAPE=1SV=1;tr|H3BUH7|H3BUH7_HUMANFructose-bisphosphatealdolaseA(Fragment)OS=HomosapiensGN=ALDOAPE=1SV=1;tr|H3BR04|H3BR04_HUMANFructose-bisphosphatealdolaseA(Fragment)OS=HomosapiensGN=ALDOAPE=1SV=1;tr|H3BMQ8|H3BMQ8_HUMANFructose-bisphosphatealdolaseA(Fragment)OS=HomosapiensGN=ALDOAPE=1SV=1;tr|H3BU78|H3BU78_HUMANFructose-bisphosphatealdolase(Fragment)OS=HomosapiensGN=ALDOAPE=1SV=2;tr|H3BR68|H3BR68_HUMANFructose-bisphosphatealdolaseA(Fragment)OS=HomosapiensGN=ALDOAPE=1SV=1;tr|A0A087WXX2|A0A087WXX2_HUMANFructose-bisphosphatealdolaseOS=HomosapiensGN=ALDOBPE=1SV=1;sp|P05062|ALDOB_HUMANFructose-bisphosphatealdolaseBOS=HomosapiensGN=ALDOBPE=1SV=2	53.46273805	53.4894145	53.92747563	55.91015338
sp|P04843|RPN1_HUMANDolichyl-diphosphooligosaccharide--proteinglycosyltransferasesubunit1OS=HomosapiensGN=RPN1PE=1SV=1;tr|B7Z4L4|B7Z4L4_HUMANDolichyl-diphosphooligosaccharide--proteinglycosyltransferasesubunit1OS=HomosapiensGN=RPN1PE=1SV=1;tr|F8WF32|F8WF32_HUMANDolichyl-diphosphooligosaccharide--proteinglycosyltransferasesubunit1OS=HomosapiensGN=RPN1PE=1SV=1	50.60639371	51.34414174	48.31053211	50.84613674
sp|P04844|RPN2_HUMANDolichyl-diphosphooligosaccharide--proteinglycosyltransferasesubunit2OS=HomosapiensGN=RPN2PE=1SV=3;tr|Q5JYR4|Q5JYR4_HUMANDolichyl-diphosphooligosaccharide--proteinglycosyltransferasesubunit2(Fragment)OS=HomosapiensGN=RPN2PE=1SV=8;tr|Q5JYR7|Q5JYR7_HUMANDolichyl-diphosphooligosaccharide--proteinglycosyltransferasesubunit2(Fragment)OS=HomosapiensGN=RPN2PE=1SV=8;tr|F2Z3K5|F2Z3K5_HUMANDolichyl-diphosphooligosaccharide--proteinglycosyltransferasesubunit2(Fragment)OS=HomosapiensGN=RPN2PE=1SV=1;tr|H0Y5M1|H0Y5M1_HUMANDolichyl-diphosphooligosaccharide--proteinglycosyltransferasesubunit2(Fragment)OS=HomosapiensGN=RPN2PE=1SV=1;tr|Q5JYR3|Q5JYR3_HUMANDolichyl-diphosphooligosaccharide--proteinglycosyltransferasesubunit2(Fragment)OS=HomosapiensGN=RPN2PE=1SV=1	53.69896794	60.46248632	58.699377	61.10251239
sp|P05023|AT1A1_HUMANSodium/potassium-transportingATPasesubunitalpha-1OS=HomosapiensGN=ATP1A1PE=1SV=1;tr|M0R116|M0R116_HUMANSodium/potassium-transportingATPasesubunitalphaOS=HomosapiensGN=ATP1A3PE=1SV=1;sp|P13637|AT1A3_HUMANSodium/potassium-transportingATPasesubunitalpha-3OS=HomosapiensGN=ATP1A3PE=1SV=3;tr|A0A0A0MT26|A0A0A0MT26_HUMANSodium/potassium-transportingATPasesubunitalpha-3OS=HomosapiensGN=ATP1A3PE=1SV=1;tr|B1AKY9|B1AKY9_HUMANSodium/potassium-transportingATPasesubunitalphaOS=HomosapiensGN=ATP1A2PE=1SV=1;sp|P50993|AT1A2_HUMANSodium/potassium-transportingATPasesubunitalpha-2OS=HomosapiensGN=ATP1A2PE=1SV=1;tr|H0Y7C1|H0Y7C1_HUMANSodium/potassium-transportingATPasesubunitalpha(Fragment)OS=HomosapiensGN=ATP1A2PE=1SV=1;sp|Q13733|AT1A4_HUMANSodium/potassium-transportingATPasesubunitalpha-4OS=HomosapiensGN=ATP1A4PE=1SV=3;tr|Q5TC01|Q5TC01_HUMANSodium/potassium-transportingATPasesubunitalpha-1(Fragment)OS=HomosapiensGN=ATP1A1PE=1SV=1;tr|Q5TC02|Q5TC02_HUMANSodium/potassium-transportingATPasesubunitalpha-1(Fragment)OS=HomosapiensGN=ATP1A1PE=1SV=1;tr|E9PRA5|E9PRA5_HUMANSodium/potassium-transportingATPasesubunitalpha-4OS=HomosapiensGN=ATP1A4PE=1SV=1;sp|P20648|ATP4A_HUMANPotassium-transportingATPasealphachain1OS=HomosapiensGN=ATP4APE=2SV=5;tr|M0QXF2|M0QXF2_HUMANSodium/potassium-transportingATPasesubunitalpha-3(Fragment)OS=HomosapiensGN=ATP1A3PE=1SV=2;tr|Q5TC05|Q5TC05_HUMANSodium/potassium-transportingATPasesubunitalpha-1(Fragment)OS=HomosapiensGN=ATP1A1PE=1SV=1	28.60562025	29.13938293	28.13232055	28.70855352
sp|P05141|ADT2_HUMANADP/ATPtranslocase2OS=HomosapiensGN=SLC25A5PE=1SV=7;sp|Q9H0C2|ADT4_HUMANADP/ATPtranslocase4OS=HomosapiensGN=SLC25A31PE=2SV=1	57.21984429	54.77334132	59.95434848	57.21677867
sp|P05388|RLA0_HUMAN60SacidicribosomalproteinP0OS=HomosapiensGN=RPLP0PE=1SV=1;tr|F8VWS0|F8VWS0_HUMAN60SacidicribosomalproteinP0OS=HomosapiensGN=RPLP0PE=1SV=1;tr|F8VU65|F8VU65_HUMAN60SacidicribosomalproteinP0(Fragment)OS=HomosapiensGN=RPLP0PE=1SV=1;tr|F8VPE8|F8VPE8_HUMAN60SacidicribosomalproteinP0(Fragment)OS=HomosapiensGN=RPLP0PE=1SV=1;tr|G3V210|G3V210_HUMAN60SacidicribosomalproteinP0OS=HomosapiensGN=RPLP0PE=1SV=1;tr|F8VW21|F8VW21_HUMAN60SacidicribosomalproteinP0(Fragment)OS=HomosapiensGN=RPLP0PE=1SV=1;tr|F8VQY6|F8VQY6_HUMAN60SacidicribosomalproteinP0OS=HomosapiensGN=RPLP0PE=1SV=1;tr|F8VRK7|F8VRK7_HUMAN60SacidicribosomalproteinP0OS=HomosapiensGN=RPLP0PE=1SV=1;sp|Q8NHW5|RLA0L_HUMAN60SacidicribosomalproteinP0-likeOS=HomosapiensGN=RPLP0P6PE=5SV=1;tr|F8VZS0|F8VZS0_HUMAN60SacidicribosomalproteinP0(Fragment)OS=HomosapiensGN=RPLP0PE=1SV=1;tr|F8VWV4|F8VWV4_HUMAN60SacidicribosomalproteinP0(Fragment)OS=HomosapiensGN=RPLP0PE=1SV=1;tr|F8VS58|F8VS58_HUMAN60SacidicribosomalproteinP0(Fragment)OS=HomosapiensGN=RPLP0PE=1SV=1;tr|F8W1K8|F8W1K8_HUMAN60SacidicribosomalproteinP0OS=HomosapiensGN=RPLP0PE=1SV=1	70.5787002	66.70412444	67.15532796	69.68835235
sp|P06576|ATPB_HUMANATPsynthasesubunitbeta,mitochondrialOS=HomosapiensGN=ATP5BPE=1SV=3;tr|H0YH81|H0YH81_HUMANATPsynthasesubunitbeta(Fragment)OS=HomosapiensGN=ATP5BPE=1SV=1;tr|F8W079|F8W079_HUMANATPsynthasesubunitbeta,mitochondrial(Fragment)OS=HomosapiensGN=ATP5BPE=1SV=1;tr|F8W0P7|F8W0P7_HUMANATPsynthasesubunitbeta,mitochondrial(Fragment)OS=HomosapiensGN=ATP5BPE=1SV=2;tr|H0YI37|H0YI37_HUMANATPsynthasesubunitbeta,mitochondrial(Fragment)OS=HomosapiensGN=ATP5BPE=1SV=1	62.75632444	61.97470306	59.18341326	61.34450554
sp|P06733|ENOA_HUMANAlpha-enolaseOS=HomosapiensGN=ENO1PE=1SV=2;tr|K7EM90|K7EM90_HUMANAlpha-enolase(Fragment)OS=HomosapiensGN=ENO1PE=1SV=1;sp|P13929|ENOB_HUMANBeta-enolaseOS=HomosapiensGN=ENO3PE=1SV=5;tr|E5RI09|E5RI09_HUMANBeta-enolase(Fragment)OS=HomosapiensGN=ENO3PE=1SV=1;tr|E5RG95|E5RG95_HUMANBeta-enolase(Fragment)OS=HomosapiensGN=ENO3PE=1SV=1;tr|K7EPM1|K7EPM1_HUMANBeta-enolase(Fragment)OS=HomosapiensGN=ENO3PE=1SV=1;tr|K7EKN2|K7EKN2_HUMANBeta-enolase(Fragment)OS=HomosapiensGN=ENO3PE=1SV=1;tr|E5RGZ4|E5RGZ4_HUMANBeta-enolase(Fragment)OS=HomosapiensGN=ENO3PE=1SV=1	68.43073114	67.04787729	66.44922809	67.37967687
